Title,Authors,#Pages,Price,Currency,Subjects,Bisac
100 Poems to Lift Your Spirits,"Leslie M. Pockell, Grand Central Publishing Staff and Celia Johnson",224,,,POETRY_COLLECTIONS,POE001000
101 Places to Get F*cked up Before You Die : The Ultimate Travel Guide to Partying Around the World,Matador Network Staff and David S. Miller,256,,,HUMOR_GENERAL,HUM000000
500 : A Novel,Matthew Quirk,336,,,"FICTION_SUSPENSE , FICTION_THRILLERS","FIC031000 , FIC030000"
50 Great Curries of India,Panjabi,192,39.99,CND,"COOKING, INDIC , COOKING (CURRY)","CKB040000 , CKB044000"
50 Great Curries of India,Camellia Panjabi,192,34.95,AUD,"COOKING, INDIC , FOOD AND DRINK","CKB000000 , CKB044000"
8 Around the Americas on a Motorcycle,Werner Bausenhart,1,,,,
Ad Serving Technology : Understand the Marketing Revelation That Commercialized the Internet,Gregory Cristal,596,27.99,USD,,
Adventures of Huckleberry Finn,Mark Twain,480,,,"AMERICAN FICTION (FICTIONAL WORKS BY ONE AUTHOR) , FINN, HUCKLEBERRY (FICTITIOUS CHARACTER)_FICTION",FIC019000
Afterworlds,Scott Westerfeld,608,19.99,AUD,"CHILDREN'S FICTION , AUTHORSHIP_FICTION , FUTURE LIFE_FICTION , DEATH_FICTION , GHOSTS_FICTION , LOVE_FICTION , NEW YORK (N.Y.)_FICTION , HOMOSEXUALITY_FICTION","JUV018000 , JUV026000 , JUV039030 , JUV047000 , JUV000000 , JUV030060 , JUV060000"
Ajax Penumbra : 1969,Robin Sloan and James Roxburgh,112,,,FICTION_GENERAL,FIC000000
Albert Einstein and the Theory of Relativity,Robert Cwiklik,192,,,"EINSTEIN, ALBERT, 1879-1955",JNF007090
Alexander Hamilton,Ron Chernow,832,,,"HAMILTON, ALEXANDER, 1757-1804 , STATESMEN_BIOGRAPHY , STATESMEN_UNITED STATES , UNITED STATES_POLITICS AND GOVERNMENT_1783-1809","BIO006000 , BIO010000 , HIS036000"
All about Vegetables,Vic Parker,24,,,,
All In,Arlene Dickinson,272,,,"ENTREPRENEURSHIP , SUCCESS IN BUSINESS","BUS107000 , BUS025000"
All My Friends Are Superheroes,Andrew L. Kaufman,120,,,"FICTION_FAMILY LIFE , CANADA_FICTION , MARRIED PEOPLE_FICTION",FIC045000
All My Friends Are Superheroes,Andrew Kaufman,109,,,"CANADA_FICTION , FICTION_FAMILY LIFE , MARRIED PEOPLE_FICTION",FIC045000
Analects,Confucius,128,,,"CONFUCIUS , PHILOSOPHY","PHI000000 , REL018000"
Angela's Ashes : A Memoir,Frank McCourt,523,,,"LARGE TYPE BOOKS , IRISH AMERICANS , IRELAND_BIOGRAPHY , MCCOURT, FRANK, 1931-2009","SOC002010 , BIO000000 , BIO026000"
Animal Farm,George Orwell,192,,,"BRITISH AND IRISH FICTION (FICTIONAL WORKS BY ONE AUTHOR) , FICTION_POLITICAL","FIC019000 , FIC037000"
Annihilation,Jeff VanderMeer,208,,,"FICTION_SCIENCE FICTION_ADVENTURE , FICTION_SUSPENSE","FIC028010 , FIC030000"
Any Other Name,Craig Johnson,336,,,"FICTION_MYSTERY & DETECTIVE_GENERAL , WYOMING_FICTION , LONGMIRE, WALT (FICTITIOUS CHARACTER)_FICTION , FICTION_WESTERNS","FIC022000 , FIC033000"
"Apocalypse Wow : Tales for a New (Ok, Slightly Used) Millennium",James Finn Garner,176,,,"AMERICAN WIT AND HUMOR , AMERICAN WIT AND HUMOR_SOCIAL LIFE AND CUSTOMS",HUM000000
Art of Fielding,Chad Harbach,450,,,"FICTION_PSYCHOLOGICAL , BASEBALL PLAYERS_FICTION , WISCONSIN_FICTION","FIC038000 , FIC025000"
Art of Happiness,Dalai Lama XIV,,39.99,AUD,"RELIGION AND THEOLOGY , BUDDHISM , SELF HELP , DALAI LAMAS , RELIGIOUS LIFE_BUDDHISM , HAPPINESS , SPIRITUALITY","SEL000000 , REL007020 , SEL016000 , REL007000 , REL000000 , REL062000"
Art of Possibility : Transforming Professional and Personal Life,Benjamin Zander,224,29.95,AUD,"BUSINESS AND ECONOMICS , SELF HELP","SEL000000 , BUS000000"
Ascent of Money : A Financial History of the World,Niall Ferguson,448,,,"FINANCE_HISTORY , ECONOMIC HISTORY , ECONOMICS_HISTORY , MONEY_HISTORY , INTERNATIONAL FINANCE","BUS027000 , BUS069000 , BUS069020 , BUS045000 , BUS023000"
Ascent of Rum Doodle and the Cruise of the Talking Fish,W. E. Bowman,116,,,FICTION_HUMOROUS,FIC016000
Asterix and the Golden Sickle,René Goscinny,44,,,"CHILDREN'S FICTION , COMIC BOOKS, STRIPS, ETC. , FRANCE_HISTORY_FICTION , ASTERIX (FICTITIOUS CHARACTER)_FICTION","JUV008000 , JUV000000 , JUV016040"
Asterix and the Soothsayer,René Goscinny and Albert Uderzo,48,,,"CHILDREN'S FICTION , FRANCE_HISTORY_FICTION , ASTERIX (FICTITIOUS CHARACTER)_FICTION","JUV008000 , JUV000000 , JUV016040"
Asterix in Belgium,René Goscinny and Uderzo,48,,,"CHILDREN'S FICTION , COMIC BOOKS, STRIPS, ETC. , FRANCE_HISTORY_FICTION , ASTERIX (FICTITIOUS CHARACTER)_FICTION","JUV008000 , JUV000000 , JUV016040"
Asterix in Britain,R. Goscinny and Albert Uderzo,48,,,"COMIC BOOKS, STRIPS, ETC. , FRANCE_HISTORY_FICTION , CHILDREN'S FICTION , ASTERIX (FICTITIOUS CHARACTER)_FICTION","JUV008000 , JUV016040 , JUV000000"
"Astronaut's Guide to Life on Earth : What Going to Space Taught Me about Ingenuity, Determination, and Being Prepared for Anything",Chris Hadfield,304,,,"ASTRONAUTS , CANADA_BIOGRAPHY , SPACE FLIGHT , CONDUCT OF LIFE","SEL000000 , BIO000000 , BIO015000 , TEC002000"
"Athletics of Philadelphia : Connie Mack's White Elephants, 1901-1954",David M. Jordan,227,,,PHILADELPHIA ATHLETICS (BASEBALL TEAM),SPO003030
Autobiography,Morrissey,480,,,"SINGERS_BIOGRAPHY , SINGERS_GREAT BRITAIN , ROCK MUSICIANS_BIOGRAPHY , ROCK MUSICIANS_GREAT BRITAIN",BIO005000
Bad Boys Do,Victoria Dahl,384,9.99,CND,FICTION_ROMANCE_GENERAL,FIC027000
Baseball Anecdotes,Daniel Okrent and Steve Wulf,368,,,BASEBALL_ANECDOTES,SPO003020
Baseball Between the Lines : Baseball After World War II As Told by the Men Who Played It,Donald Honig,320,9.95,USD,BASEBALL_HISTORY,SPO003030
"Baseball Between the Lines : Baseball in the Forties and Fifties, As Told by the Men Who Played It",Donald Honig and Red Smith,252,,,"BASEBALL PLAYERS , BASEBALL_BIOGRAPHY",SPO003000
"Baseball When the Grass Was Real : Baseball from the Twenties to the Forties, Told by the Men Who Played It",Donald Honig,326,,,"BASEBALL PLAYERS , BASEBALL_BIOGRAPHY",SPO003000
Bass Guitar for Dummies,Patrick Pfeiffer,360,,,"BASS GUITAR , GUITAR_INSTRUCTION AND STUDY",MUS023060
"Beating the Dow with Bonds : A High Return, Low Risk Strategy for Outperforming the Pros Even When Stocks Go South",Michael B. O'Higgins and John McCarty,288,,,"INVESTMENTS , BONDS","BUS036010 , BUS036000"
Beautiful Ruins,Jess Walter,352,,,"ITALY_FICTION , HOLLYWOOD (LOS ANGELES, CALIF.)_FICTION , FICTION_HISTORICAL",FIC014000
Beijing Bastard : Into the Wilds of a Changing China,Val Wang,352,,,"CHINESE AMERICANS , YOUNG WOMEN , WOMEN_UNITED STATES_BIOGRAPHY , SOCIAL CHANGE , CHINA_SOCIAL LIFE AND CUSTOMS","BIO022000 , SOC026000 , SOC043000 , SOC028000 , SOC005000"
Beyond Tears : Living after Losing a Child,Ellen Mitchell,192,,,"BEREAVEMENT_PSYCHOLOGICAL ASPECTS , DEATH_PSYCHOLOGICAL ASPECTS , SELF-HELP TECHNIQUES","SEL000000 , FAM014000"
Bible,,24,3,AUD,"RELIGION AND THEOLOGY , BIBLE_JUVENILE LITERATURE , BIBLE","JNF049010 , BIB018010 , REL000000"
Bilinguis Musarum Alumnus : Auspice Phoebo ... ...,Antoine L. Le Brun,196,23.75,USD,,
Bill Stern's Favorite Baseball Stories,Bill Stern and Louis S. Glanzman,256,32.95,USD,,
"Birds, Beasts and Relatives",Gerald Durrell,,6.95,CND,FICTION_GENERAL,FIC000000
Black Ice,Becca Fitzpatrick,400,,,"CHILDREN'S FICTION , SURVIVAL_FICTION , LOVE_FICTION","JUV001010 , JUV026000 , JUV000000"
Black Maps,Peter Spiegelman,304,,,"FICTION_SUSPENSE , NEW YORK (N.Y.)_FICTION",FIC030000
Blank Slate : The Modern Denial of Human Nature,Steven Pinker,560,,,"DEVELOPMENTAL PSYCHOLOGY , NATURE AND NURTURE","SCI029000 , PSY039000"
Blind Watchmaker : Why the Evidence of Evolution Reveals a Universe Without Design,Richard Dawkins,368,,,"EVOLUTION , NATURAL SELECTION",SCI027000
Blood Sugar Solution 10-Day Detox Diet : Activate Your Body's Natural Ability to Burn Fat and Lose Weight Fast,Mark Hyman,352,,,"DETOXIFICATION (HEALTH) , BLOOD SUGAR , DIABETES_DIET THERAPY , REDUCING DIETS","HEA047000 , HEA039050 , HEA006000 , MED038000"
"Blood Sugar Solution : The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!",Mark Hyman,448,,,"BLOOD SUGAR , DIABETES_DIET THERAPY , WEIGHT LOSS","HEA039050 , HEA019000 , MED038000"
Boardman Tasker Omnibus,Joe Tasker and Peter Boardman,873,,,MOUNTAINEERING,SPO029000
Boardman Tasker Omnibus,Joe Tasker and Peter Boardman,16,,,MOUNTAINEERING,SPO029000
Bootstrapped : How 75 Entrepreneurs Successfully Bootstrapped Their Startups and How You Can Too,James Garvin,188,11.99,USD,,
Born to Run,Christopher McDougall,304,,,"MARATHON RUNNING , INDIANS OF MEXICO","SOC021000 , SPO035000"
Boy and Going Solo,Roald Dahl,176,,,"CHILDREN'S FICTION , BOYS_FICTION","JUV000000 , JUV005000"
Boys in the Boat : An Epic True-Life Journey to the Heart of Hitler's Berlin,Daniel James Brown,416,,,"OLYMPICS , ATHLETES_UNITED STATES , ATHLETES_BIOGRAPHY , ROWING","SPO058000 , SPO051000 , BIO016000"
"Boys of Summer : The Classic Narrative of Growing up Within Shouting Distance of Ebbets Field, Covering the Jackie Robinson Dodgers, and What's Happened to Everybody Since",Roger Kahn,1,4.5,CND,"BROOKLYN DODGERS (BASEBALL TEAM) , BASEBALL_HISTORY",SPO003030
Brave New World,Aldous Huxley,304,,,BRITISH AND IRISH FICTION (FICTIONAL WORKS BY ONE AUTHOR),FIC019000
Breakthrough Advertising : How to Write Ads That Shatter Traditions and Sales Records,Eugene M. Schwartz,236,50,USD,ADVERTISING COPY,BUS002000
Breathing,,,,,RESPIRATION,MED075000
"Breath of Fire : Breath of Fire Iv, Breath of Fire Iii, Breath of Fire",,82,9.93,GBP,,
Bringing up Bébé : One American Mother Discovers the Wisdom of French Parenting,Pamela Druckerman,304,,,"CHILD REARING , PARENT AND CHILD , CHILDREN_FRANCE , CHILDREN_UNITED STATES , FRANCE_SOCIAL LIFE AND CUSTOMS","FAM034000 , SOC047000 , SOC005000"
Brooklyn Dodgers,Donald Honig,192,,,BROOKLYN DODGERS (BASEBALL TEAM),SPO003030
"Brooklyn's Dodgers : The Bums, the Borough, and the Best of Baseball, 1947-1957",Carl E. Prince,216,,,"BROOKLYN DODGERS (BASEBALL TEAM) , BROOKLYN (NEW YORK, N.Y.)_HISTORY","HIS036080 , SPO003030"
Bugaboo Rock,Randall Green and Joe Bensen,192,,,"BRITISH COLUMBIA_DESCRIPTION AND TRAVEL , ROCK CLIMBING , MOUNTAINEERING","SPO029000 , TRV006050"
Built to Last : Successful Habits of Visionary Companies,Jim Collins and Jerry I. Porras,"xiv, 322",,,"SUCCESS IN BUSINESS , ENTREPRENEURSHIP , INDUSTRIAL MANAGEMENT_UNITED STATES","BUS107000 , BUS025000 , BUS082000"
"Bunker Hill : A City, a Siege, a Revolution",Nathaniel Philbrick,416,,,"BUNKER HILL, BATTLE OF, BOSTON, MASS., 1775",HIS036030
Bunny and Shark,Alisha Piercy,160,,,FICTION_GENERAL,FIC000000
Burglar Who Counted the Spoons,Lawrence Block,336,,,"FICTION_MYSTERY & DETECTIVE_GENERAL , RHODENBARR, BERNIE (FICTITIOUS CHARACTER)_FICTION",FIC022000
"Business Intelligence : Data Warehouse, Sas, Predictive Analytics, Resource-Based View, Competitive Intelligence, Context Analysis",,514,32.07,AUD,,
Buzz Books 2014: Spring/Summer : Exclusive Excerpts from 40 top new titles,Michael Cader,,,,"FICTION_GENERAL , CHILDREN'S FICTION","FIC000000 , JUV000000"
Buzz Books 2014: Young Adult : Exclusive Excerpts from 20 Top New Young Adult Titles,Publishers Lunch,,,,CHILDREN'S FICTION,JUV000000
Call the Midwife : A True Story of the East End in the 1950s,Jennifer Worth,368,,,"LONDON (ENGLAND)_BIOGRAPHY , MIDWIVES , LONDON (ENGLAND)_HISTORY , CHILDBIRTH","MED033000 , HIS015000 , HEA041000 , BIO000000"
Canadian Alpine Journal,Alpine Club Of Canada,208,21.07,AUD,,
"Cancer on the Brain : One Man's Journey of Baseball, Business, and Beating the Odds",Jay Lefevers,240,,,"BRAIN_CANCER , CANCER_PATIENTS_BIOGRAPHY , LYMPH NODES","HEA039030 , MED062000 , MED005000"
Candide,Voltaire,70,6.2,AUD,CONTINENTAL EUROPEAN FICTION (FICTIONAL WORKS BY ONE AUTHOR),FIC019000
Captain Corelli's Mandolin,Louis de Bernières,448,,,FICTION_GENERAL,FIC000000
Captain's Daughter and Other Stories,Alexander Pushkin,320,,,"FICTION_SHORT STORIES (single author) , CONTINENTAL EUROPEAN FICTION (FICTIONAL WORKS BY ONE AUTHOR)","FIC019000 , FIC029000"
Carl Erskine's Tales from the Dodger Dugout,Carl Erskine,200,,,BROOKLYN DODGERS (BASEBALL TEAM),SPO003030
Catastrophist : A Novel,Ronan Bennett,336,,,"AFRICA_FICTION , FICTION_HISTORICAL",FIC014000
Catcher in the Rye,J. D. Salinger,208,,,"CAULFIELD, HOLDEN (FICTITIOUS CHARACTER)_FICTION , NEW YORK (N.Y.)_FICTION , AMERICAN FICTION (FICTIONAL WORKS BY ONE AUTHOR) , FICTION_COMING OF AGE","FIC019000 , FIC043000"
Ceremony,Leslie Marmon Silko,272,,,"FICTION_WESTERNS , WORLD WAR, 1939-1945_FICTION","FIC033000 , FIC032000"
Charles Burchfield,John I. H. Baur,,29,USD,"BURCHFIELD, CHARLES EPHRAIM, 1893-1967",
Charles Darwin and the Theory of Natural Selection,Renee Skelton,,17.6,USD,"DARWIN, CHARLES, 1809-1882 , DARWIN, CHARLES, 1809-1882_JUVENILE LITERATURE , EVOLUTION , EVOLUTION_JUVENILE LITERATURE , NATURAL SELECTION","JNF051050 , JNF007090"
Charles Darwin and the Theory of Natural Selection,,256,26.35,AUD,,
Charlie and the Chocolate Factory,Roald Dahl,160,,,"CHILDREN'S FICTION , BEHAVIOR_FICTION , HUMOROUS STORIES","JUV039000 , JUV019000 , JUV000000"
Christmas Angel,Jane Maas,192,,,"FICTION_ROMANCE_HISTORICAL , UNITED STATES_FICTION",FIC027050
Cities of the Plain,Cormac McCarthy,304,,,"FICTION_WESTERNS , FICTION_MEN'S ADVENTURE , TEXAS_FICTION , NEW MEXICO_FICTION","FIC033000 , FIC002000"
Climate Wars : How Peak Oil and the Climate Crisis Will Change Canada,Gwynne Dyer,272,,,"GLOBAL WARMING , CLIMATIC CHANGES",SCI092000
Climber's Guide to West Coast Ice,Don Seri and Bruce Kay,160,24.75,CND,MOUNTAINEERING,SPO029000
Climbs and Treks in the Cordillera Huayhuash of Peru,Jeremy Frimer,216,,,RECREATION,SPO000000
Close Enough to Touch,Victoria Dahl,336,,,"FICTION , ROMANCE","FIC027000 , FIC000000"
Cod : A Biography of the Fish That Changed the World,Mark Kurlansky,294,,,"COD FISHERIES , CODFISH , COOKING (FISH)","NAT012000 , CKB076000 , TEC049000"
Code Complete : A Practical Handbook of Software Construction,Steve M. McConnell,857,,,COMPUTER SOFTWARE_DEVELOPMENT,COM051230
Code Zero : A Joe Ledger Novel,Jonathan Maberry,480,,,"FICTION_HORROR , FICTION_SUSPENSE","FIC015000 , FIC030000"
Coercion : The Persuasion Professionals and Why We Listen to What They Say,Douglas Rushkoff,321,,,,
Cold Dish,Craig Johnson,384,35,CND,"WYOMING_FICTION , FICTION_MYSTERY & DETECTIVE_GENERAL , INDIANS OF NORTH AMERICA_FICTION , LONGMIRE, WALT (FICTITIOUS CHARACTER)_FICTION , FICTION_WESTERNS","FIC059000 , FIC022000 , FIC033000"
Collapse : How Societies Choose to Fail or Succeed,,,,,,
"Collected Essays, Journalism and Letters of George Orwell Vol. 4 : In Front of Your Nose, 1945-1950",George Orwell,624,,,FICTION_SHORT STORIES (single author),FIC029000
"Collectives : Crimethinc. , Tolantongo, Last Hours, Mondragon Bookstore",,80,53.32,AUD,,
Colleges That Change Lives : 40 Schools You Should Know about Even If You're Not a Straight-A Student,Loren Pope,320,22.5,CND,"UNIVERSITIES AND COLLEGES_UNITED STATES , SCHOOL ENVIRONMENT , COLLEGE CHOICE","EDU015000 , EDU000000"
Colour of Magic,Terry Pratchett,320,,,"FICTION_FANTASY_GENERAL , DISCWORLD (IMAGINARY PLACE)_FICTION , RINCEWIND THE WIZARD (FICTITIOUS CHARACTER)_FICTION",FIC009000
Colour of Magic and The Light Fantastic : A Discworld Omnibus,Terry Pratchett,432,,,"FICTION_HUMOROUS , FICTION_FANTASY_GENERAL , DISCWORLD (IMAGINARY PLACE)_FICTION","FIC016000 , FIC009000"
Comes the Blind Fury,John Saul,384,,,FICTION_HORROR,FIC015000
Complete Guide to Investing in Rental Properties,Steve Berges,288,,,"LEASE AND RENTAL SERVICES , INVESTMENTS","BUS070080 , BUS036000"
Computer Vision : Algorithms and Applications,Richard Szeliski,"xx, 812",,,COMPUTER VISION,COM016000
Converge : Transforming Business at the Intersection of Marketing and Technology,Bob W. Lord and Ray Velez,256,,,INTERNET MARKETING,BUS090010
Cooked : A Natural History of Transformation,Michael Pollan,480,,,"COOKING , FOOD HABITS , COOKING (NATURAL FOODS)","CKB000000 , SOC055000 , CKB059000"
Cosmic Mysteries,Time-Life Books Editors,,,,"ASTRONOMY , ASTROPHYSICS","SCI004000 , SCI005000"
Cracking the Show,Thomas Boswell,368,,,BASEBALL,SPO003000
Crossing the Chasm : Marketing and Selling High-Tech Products to Mainstream Customers,Geoffrey A. Moore,224,,,"HIGH TECHNOLOGY INDUSTRIES , SELLING , MARKETING","BUS043000 , BUS058000 , TEC040000"
Cubs and the Kabbalist : How a Kabbalah-Master Helped the Chicago Cubs Win Their First World Series Since 1908,Byron L. Sherwin,260,,,"FICTION_SPORTS , FICTION_RELIGIOUS","FIC038000 , FIC026000"
Cuckoo's Calling,Robert Galbraith,464,,,"PRIVATE INVESTIGATORS_FICTION , CRIME_FICTION , LONDON (ENGLAND)_FICTION , FICTION_MYSTERY & DETECTIVE_GENERAL , VETERANS_FICTION","FIC022000 , FIC022090 , FIC050000"
Cunning Man,Robertson Davies,480,,,"CANADA_FICTION , PHYSICIANS_FICTION , FICTION_GENERAL",FIC000000
Curious Incident of the Dog in the Night-Time,Mark Haddon,224,,,"ENGLAND_FICTION , FICTION_MYSTERY & DETECTIVE_GENERAL",FIC022000
Dance Dance Dance,Haruki Murakami,400,,,"JAPAN_FICTION , NEAR AND FAR EASTERN FICTION (FICTIONAL WORKS BY ONE AUTHOR)",FIC019000
Dandy Gilver and a Bothersome Number of Corpses,Catriona McPherson,336,,,"FICTION_MYSTERY & DETECTIVE_GENERAL , CRIME_FICTION , SCOTLAND_FICTION","FIC022000 , FIC050000"
Dark Tower - The Gunslinger : The Way Station,"Stephen King, Peter David, Robin Furth and Laurence Campbell",136,,,"COMICS & GRAPHIC NOVELS_FANTASY , ROLAND (FICTITIOUS CHARACTER : KING)_FICTION",CGN004030
"Data, a Love Story : How I Gamed Online Dating to Meet My Match",Amy Webb,320,,,DATING (SOCIAL CUSTOMS),FAM051000
Dataclysm : Who We Are (When We Think No One's Looking),Christian Rudder,272,29.95,CND,"BEHAVIORAL ASSESSMENT , HUMAN BEHAVIOR , SOCIAL MEDIA , INTERNET_SOCIAL ASPECTS , SELF-PRESENTATION","PSY042000 , PSY000000 , COM060150 , SEL044000 , COM079000"
Daughters of Eve,Lois Duncan,256,,,"CHILDREN'S FICTION , WOMEN_FICTION","JUV014000 , JUV000000"
Day Trade Online,Christopher A. Farrell,208,,,"DAY TRADING (SECURITIES) , ELECTRONIC TRADING OF SECURITIES",BUS090030
Dealing with the Dutch,Jacob Vossestein,112,,,"ETIQUETTE , CULTURE SHOCK , NETHERLANDS_SOCIAL LIFE AND CUSTOMS","SOC002010 , REF011000 , SOC005000"
DeBono's Thinking Course,Edward de Bono,208,,,"THOUGHT AND THINKING , CREATIVE THINKING","PSY008000 , SEL009000"
"Decisions : Making the Right Decisions, Righting the Wrong Ones",Jim Treliving,272,,,"DECISION MAKING , PROBLEM SOLVING , SUCCESS IN BUSINESS","BUS107000 , EDU008000"
Decline and Fall,Evelyn Waugh,224,,,BRITISH AND IRISH FICTION (FICTIONAL WORKS BY ONE AUTHOR),FIC019000
Delicate Truth,John le Carré,320,,,"FICTION_SUSPENSE , FICTION_ESPIONAGE , GIBRALTAR_FICTION","FIC006000 , FIC030000"
Design of Everyday Things : Revised and Expanded Edition,Donald A. Norman,368,,,"INDUSTRIAL DESIGN , HUMAN ENGINEERING , COGNITIVE PSYCHOLOGY","TEC016000 , PSY008000 , TEC009060"
Detroit : A Biography,Scott Martelle,304,,,"AFRICAN AMERICANS_MICHIGAN_DETROIT , DETROIT (MICH.)_ECONOMIC CONDITIONS , DETROIT (MICH.)_HISTORY , MICHIGAN_POPULATION","SOC001000 , BUS022000 , SOC006000 , HIS036090"
Discrete Mathematics with Applications,Epp,,,,COMPUTER SCIENCE_MATHEMATICS,MAT008000
Divine Comedy : Inferno,Dante Alighieri,224,,,FICTION_HUMOROUS,FIC016000
Divorce Party,Jennifer Hayward,192,5.99,CND,"FICTION_ROMANCE_GENERAL , MAN-WOMAN RELATIONSHIPS_FICTION",FIC027000
Dodgers! : The First One Hundred Years,Stanley Cohen,256,5.95,CND,LOS ANGELES DODGERS (BASEBALL TEAM),SPO003000
Doing It at the Dixie Dew,Ruth Moose,256,,,"FICTION_MYSTERY & DETECTIVE_GENERAL , SOUTHERN STATES_FICTION",FIC022000
Dominion,C. J. Sansom,608,,,"FICTION_SUSPENSE , FICTION_ESPIONAGE , FICTION_ALTERNATIVE HISTORY , GREAT BRITAIN_FICTION , FICTION_POLITICAL , FICTION_HISTORICAL","FIC006000 , FIC037000 , FIC040000 , FIC014000 , FIC030000"
